04:40:13 | ================================================================================
04:40:13 |  Time_MoE | XANG | H1 | walkforward | seed=123
04:40:13 | ================================================================================
04:40:14 | Data: 4513 rows | Features: 15
04:44:10 |  Iter-01 | MAE=0.114 | MAPE=0.15%
04:54:16 |  Iter-02 | MAE=0.285 | MAPE=0.37%
05:01:39 |  Iter-03 | MAE=0.286 | MAPE=0.36%
05:13:12 |  Iter-04 | MAE=2.467 | MAPE=3.28%
05:18:44 |  Iter-05 | MAE=0.437 | MAPE=0.59%
05:26:26 |  Iter-06 | MAE=0.553 | MAPE=0.74%
05:30:03 |  Iter-07 | MAE=1.315 | MAPE=1.79%
05:32:50 |  Iter-08 | MAE=0.405 | MAPE=0.55%
05:43:33 |  Iter-09 | MAE=1.185 | MAPE=1.60%
05:48:17 |  Iter-10 | MAE=0.934 | MAPE=1.26%
05:52:59 |  Iter-11 | MAE=0.371 | MAPE=0.50%
05:56:27 |  Iter-12 | MAE=0.524 | MAPE=0.72%
06:07:16 |  Iter-13 | MAE=0.481 | MAPE=0.66%
06:13:31 |  Iter-14 | MAE=0.116 | MAPE=0.16%
06:16:52 |  Iter-15 | MAE=0.254 | MAPE=0.35%
06:27:05 |  Iter-16 | MAE=0.675 | MAPE=0.93%
06:30:04 |  Iter-17 | MAE=0.558 | MAPE=0.77%
06:39:35 |  Iter-18 | MAE=1.483 | MAPE=2.10%
06:43:59 |  Iter-19 | MAE=0.184 | MAPE=0.26%
06:46:45 |  Iter-20 | MAE=1.436 | MAPE=2.05%
06:56:49 |  Iter-21 | MAE=1.153 | MAPE=1.63%
06:59:43 |  Iter-22 | MAE=1.060 | MAPE=1.46%
07:03:41 |  Iter-23 | MAE=1.229 | MAPE=1.70%
07:11:25 |  Iter-24 | MAE=0.123 | MAPE=0.17%
07:15:31 |  Iter-25 | MAE=1.861 | MAPE=2.57%
07:18:34 |  Iter-26 | MAE=1.357 | MAPE=1.88%
07:26:19 |  Iter-27 | MAE=0.527 | MAPE=0.74%
07:29:36 |  Iter-28 | MAE=0.549 | MAPE=0.77%
07:38:08 |  Iter-29 | MAE=0.632 | MAPE=0.88%
07:48:59 |  Iter-30 | MAE=0.218 | MAPE=0.30%
07:57:26 |  Iter-31 | MAE=0.755 | MAPE=1.04%
08:05:34 |  Iter-32 | MAE=0.698 | MAPE=0.96%
08:13:57 |  Iter-33 | MAE=1.117 | MAPE=1.53%
08:16:42 |  Iter-34 | MAE=1.308 | MAPE=1.84%
08:19:29 |  Iter-35 | MAE=0.924 | MAPE=1.26%
08:23:39 |  Iter-36 | MAE=0.640 | MAPE=0.86%
08:30:08 |  Iter-37 | MAE=0.998 | MAPE=1.34%
08:33:18 |  Iter-38 | MAE=3.390 | MAPE=4.72%
08:36:15 |  Iter-39 | MAE=2.342 | MAPE=3.25%
08:47:48 |  Iter-40 | MAE=1.026 | MAPE=1.39%
08:54:17 |  Iter-41 | MAE=0.624 | MAPE=0.84%
09:00:01 |  Iter-42 | MAE=0.997 | MAPE=1.34%
09:07:02 |  Iter-43 | MAE=1.144 | MAPE=1.51%
09:09:51 |  Iter-44 | MAE=1.101 | MAPE=1.42%
09:13:50 |  Iter-45 | MAE=0.486 | MAPE=0.64%
09:18:06 |  Iter-46 | MAE=1.322 | MAPE=1.74%
09:26:08 |  Iter-47 | MAE=1.963 | MAPE=2.70%
09:33:17 |  Iter-48 | MAE=0.364 | MAPE=0.50%
09:40:10 |  Iter-49 | MAE=0.773 | MAPE=1.06%
09:51:40 |  Iter-50 | MAE=0.590 | MAPE=0.81%
09:58:14 |  Iter-51 | MAE=2.567 | MAPE=3.33%
10:06:55 |  Iter-52 | MAE=1.244 | MAPE=1.58%
10:18:07 |  Iter-53 | MAE=0.399 | MAPE=0.51%
10:21:56 |  Iter-54 | MAE=1.679 | MAPE=2.09%
10:26:37 |  Iter-55 | MAE=1.003 | MAPE=1.25%
10:31:05 |  Iter-56 | MAE=1.032 | MAPE=1.28%
10:42:02 |  Iter-57 | MAE=0.006 | MAPE=0.01%
10:53:45 |  Iter-58 | MAE=10.832 | MAPE=11.83%
10:57:05 |  Iter-59 | MAE=6.656 | MAPE=6.85%
11:00:01 |  Iter-60 | MAE=2.497 | MAPE=2.44%
11:02:24 |  Iter-61 | MAE=12.076 | MAPE=11.05%
11:04:46 |  Iter-62 | MAE=7.315 | MAPE=6.22%
11:07:19 |  Iter-63 | MAE=21.384 | MAPE=14.90%
11:09:44 |  Iter-64 | MAE=18.963 | MAPE=15.38%
