
══════════════════════════════════════════════════════════════════════
  CONCURRENT EXPERIMENT PLAN  ─  Kiến Trúc Song Song Hoàn Chỉnh
══════════════════════════════════════════════════════════════════════
  GPU              : 3  (CUDA_VISIBLE_DEVICES=3)
  Target(s)        : ['XANG', 'DAU']
  Models           : 47
  Horizons         : [1, 3, 5, 7, 10, 20, 60]
  Seeds            : [9999]
  Total planned    : 658
  Jobs to run      : 658
  Max concurrent   : 7  (auto VRAM-aware)
  Per-job timeout  : Unlimited (không giới hạn)
  Retries          : 1
  Results dir      : results_v4/
  Error logs       : logs_v4/errors/
  Dry run          : False

  Models (47):
    [01] DLinear                ~ 400 MB VRAM
    [02] RLinear                ~ 400 MB VRAM
    [03] LTSF_Linear            ~ 400 MB VRAM
    [04] NBEATS                 ~ 700 MB VRAM
    [05] NHits                  ~ 700 MB VRAM
    [06] PatchTST               ~1800 MB VRAM
    [07] TFT                    ~ 900 MB VRAM
    [08] Autoformer             ~1800 MB VRAM
    [09] FedFormer              ~1800 MB VRAM
    [10] Informer               ~1500 MB VRAM
    [11] Reformer               ~1500 MB VRAM
    [12] iTransformer           ~1500 MB VRAM
    [13] UniTS                  ~1500 MB VRAM
    [14] TimeXer                ~1200 MB VRAM
    [15] Crossformer            ~1200 MB VRAM
    [16] CARD                   ~1200 MB VRAM
    [17] TimesNet               ~1200 MB VRAM
    [18] TimeMixer              ~1200 MB VRAM
    [19] TTM                    ~1200 MB VRAM
    [20] FITS                   ~ 600 MB VRAM
    [21] CoST                   ~ 700 MB VRAM
    [22] TimeMachine            ~1800 MB VRAM
    [23] S_Mamba                ~2000 MB VRAM
    [24] MambaFormer            ~2000 MB VRAM
    [25] BiMamba                ~1800 MB VRAM
    [26] Chronos                ~4500 MB VRAM
    [27] TimesFM                ~4500 MB VRAM
    [28] Moirai                 ~4500 MB VRAM
    [29] Lag_Llama              ~4000 MB VRAM
    [30] TEMPO                  ~3500 MB VRAM
    [31] GPT4TS                 ~3500 MB VRAM
    [32] Time_MoE               ~ 800 MB VRAM
    [33] Gated_TabNet           ~ 500 MB VRAM
    [34] GUMNet                 ~ 900 MB VRAM
    [35] GUMNet_Mamba           ~1800 MB VRAM
    [36] GUMNet_iTrans          ~1500 MB VRAM
    [37] GUMNet_Wavelet         ~1200 MB VRAM
    [38] GUMNet_Patch           ~1000 MB VRAM
    [39] GUMNet_Fourier         ~ 800 MB VRAM
    [40] GUMNet_Diffusion       ~2500 MB VRAM
    [41] GUMNet_Graph           ~2500 MB VRAM
    [42] GUMNet_RL              ~2000 MB VRAM
    [43] GUMNet_MoE_Sparse      ~ 800 MB VRAM
    [44] GUMNet_Fusion          ~3000 MB VRAM
    [45] GUMNet_Decomp          ~ 800 MB VRAM
    [46] GUMNet_Adaptive        ~ 900 MB VRAM
    [47] GUMNetHet              ~ 800 MB VRAM
══════════════════════════════════════════════════════════════════════

[GPU3] Starting 658 jobs with 7 concurrent workers...
[GPU3] Log: /data/quyhv/oil_forecast_tail_risk/logs_v4/concurrent_gpu3_20260817_015426.log

[   1/658]   0.2% | OK:1    FAIL:0    SKIP:0   | OK           | 11788s | ETA:129077m | NBEATS|XANG|H1|s9999
[   2/658]   0.3% | OK:2    FAIL:0    SKIP:0   | OK           | 12309s | ETA:67290m | NHits|XANG|H1|s9999
[   3/658]   0.5% | OK:3    FAIL:0    SKIP:0   | OK           | 14379s | ETA:52325m | TFT|XANG|H1|s9999
[   4/658]   0.6% | OK:4    FAIL:0    SKIP:0   | OK           | 23225s | ETA:63289m | PatchTST|XANG|H1|s9999
[   5/658]   0.8% | OK:5    FAIL:0    SKIP:0   | OK           | 28349s | ETA:61706m | RLinear|XANG|H1|s9999
[   6/658]   0.9% | OK:6    FAIL:0    SKIP:0   | OK           | 17603s | ETA:57923m | Informer|XANG|H1|s9999
[   7/658]   1.1% | OK:7    FAIL:0    SKIP:0   | OK           | 24194s | ETA:56579m | FedFormer|XANG|H1|s9999
[   8/658]   1.2% | OK:8    FAIL:0    SKIP:0   | OK           | 25182s | ETA:50063m | Autoformer|XANG|H1|s9999
[   9/658]   1.4% | OK:9    FAIL:0    SKIP:0   | OK           | 39201s | ETA:47114m | DLinear|XANG|H1|s9999
[  10/658]   1.5% | OK:10   FAIL:0    SKIP:0   | OK           | 40680s | ETA:43934m | LTSF_Linear|XANG|H1|s9999
[  11/658]   1.7% | OK:11   FAIL:0    SKIP:0   | OK           | 17519s | ETA:39942m | Reformer|XANG|H1|s9999
[  12/658]   1.8% | OK:12   FAIL:0    SKIP:0   | OK           | 10602s | ETA:38208m | UniTS|XANG|H1|s9999
[  13/658]   2.0% | OK:13   FAIL:0    SKIP:0   | OK           | 16147s | ETA:36795m | iTransformer|XANG|H1|s9999
[  14/658]   2.1% | OK:14   FAIL:0    SKIP:0   | OK           | 11563s | ETA:38919m | CARD|XANG|H1|s9999
[  15/658]   2.3% | OK:15   FAIL:0    SKIP:0   | OK           | 17297s | ETA:38437m | TimeXer|XANG|H1|s9999
[  16/658]   2.4% | OK:16   FAIL:0    SKIP:0   | OK           | 12247s | ETA:37947m | FITS|XANG|H1|s9999
[  17/658]   2.6% | OK:17   FAIL:0    SKIP:0   | OK           | 16504s | ETA:35936m | TimesNet|XANG|H1|s9999
[  18/658]   2.7% | OK:18   FAIL:0    SKIP:0   | OK           | 17131s | ETA:35387m | TTM|XANG|H1|s9999
[  19/658]   2.9% | OK:19   FAIL:0    SKIP:0   | OK           | 23708s | ETA:34011m | Crossformer|XANG|H1|s9999
[  20/658]   3.0% | OK:20   FAIL:0    SKIP:0   | OK           | 10074s | ETA:32346m | CoST|XANG|H1|s9999
[  21/658]   3.2% | OK:21   FAIL:0    SKIP:0   | OK           | 23970s | ETA:32717m | TimeMixer|XANG|H1|s9999
[  22/658]   3.3% | OK:22   FAIL:0    SKIP:0   | OK           | 20746s | ETA:37548m | MambaFormer|XANG|H1|s9999
[  23/658]   3.5% | OK:23   FAIL:0    SKIP:0   | OK           | 18176s | ETA:36358m | TimesFM|XANG|H1|s9999
[  24/658]   3.6% | OK:24   FAIL:0    SKIP:0   | OK           | 25320s | ETA:37863m | Chronos|XANG|H1|s9999
[  25/658]   3.8% | OK:25   FAIL:0    SKIP:0   | OK           | 15519s | ETA:39435m | Lag_Llama|XANG|H1|s9999
[  26/658]   4.0% | OK:26   FAIL:0    SKIP:0   | OK           | 41159s | ETA:38470m | TimeMachine|XANG|H1|s9999
[  27/658]   4.1% | OK:27   FAIL:0    SKIP:0   | OK           | 38021s | ETA:38069m | BiMamba|XANG|H1|s9999
[  28/658]   4.3% | OK:28   FAIL:0    SKIP:0   | OK           | 13926s | ETA:37471m | GPT4TS|XANG|H1|s9999
[  29/658]   4.4% | OK:29   FAIL:0    SKIP:0   | OK           | 43358s | ETA:36186m | S_Mamba|XANG|H1|s9999
[  30/658]   4.6% | OK:30   FAIL:0    SKIP:0   | OK           | 38296s | ETA:35939m | Moirai|XANG|H1|s9999
[  31/658]   4.7% | OK:31   FAIL:0    SKIP:0   | OK           | 26207s | ETA:35470m | TEMPO|XANG|H1|s9999
[  32/658]   4.9% | OK:32   FAIL:0    SKIP:0   | OK           | 23022s | ETA:39372m | GUMNet|XANG|H1|s9999
[  33/658]   5.0% | OK:33   FAIL:0    SKIP:0   | OK           | 29966s | ETA:38957m | Time_MoE|XANG|H1|s9999
