
══════════════════════════════════════════════════════════════════════
  CONCURRENT EXPERIMENT PLAN  ─  Kiến Trúc Song Song Hoàn Chỉnh
══════════════════════════════════════════════════════════════════════
  GPU              : 0  (CUDA_VISIBLE_DEVICES=0)
  Target(s)        : ['XANG', 'DAU']
  Models           : 47
  Horizons         : [1, 3, 5, 7, 10, 20, 60]
  Seeds            : [123]
  Total planned    : 658
  Jobs to run      : 658
  Max concurrent   : 7  (auto VRAM-aware)
  Per-job timeout  : Unlimited (không giới hạn)
  Retries          : 1
  Results dir      : results_v4/
  Error logs       : logs_v4/errors/
  Dry run          : False

  Models (47):
    [01] DLinear                ~ 400 MB VRAM
    [02] RLinear                ~ 400 MB VRAM
    [03] LTSF_Linear            ~ 400 MB VRAM
    [04] NBEATS                 ~ 700 MB VRAM
    [05] NHits                  ~ 700 MB VRAM
    [06] PatchTST               ~1800 MB VRAM
    [07] TFT                    ~ 900 MB VRAM
    [08] Autoformer             ~1800 MB VRAM
    [09] FedFormer              ~1800 MB VRAM
    [10] Informer               ~1500 MB VRAM
    [11] Reformer               ~1500 MB VRAM
    [12] iTransformer           ~1500 MB VRAM
    [13] UniTS                  ~1500 MB VRAM
    [14] TimeXer                ~1200 MB VRAM
    [15] Crossformer            ~1200 MB VRAM
    [16] CARD                   ~1200 MB VRAM
    [17] TimesNet               ~1200 MB VRAM
    [18] TimeMixer              ~1200 MB VRAM
    [19] TTM                    ~1200 MB VRAM
    [20] FITS                   ~ 600 MB VRAM
    [21] CoST                   ~ 700 MB VRAM
    [22] TimeMachine            ~1800 MB VRAM
    [23] S_Mamba                ~2000 MB VRAM
    [24] MambaFormer            ~2000 MB VRAM
    [25] BiMamba                ~1800 MB VRAM
    [26] Chronos                ~4500 MB VRAM
    [27] TimesFM                ~4500 MB VRAM
    [28] Moirai                 ~4500 MB VRAM
    [29] Lag_Llama              ~4000 MB VRAM
    [30] TEMPO                  ~3500 MB VRAM
    [31] GPT4TS                 ~3500 MB VRAM
    [32] Time_MoE               ~ 800 MB VRAM
    [33] Gated_TabNet           ~ 500 MB VRAM
    [34] GUMNet                 ~ 900 MB VRAM
    [35] GUMNet_Mamba           ~1800 MB VRAM
    [36] GUMNet_iTrans          ~1500 MB VRAM
    [37] GUMNet_Wavelet         ~1200 MB VRAM
    [38] GUMNet_Patch           ~1000 MB VRAM
    [39] GUMNet_Fourier         ~ 800 MB VRAM
    [40] GUMNet_Diffusion       ~2500 MB VRAM
    [41] GUMNet_Graph           ~2500 MB VRAM
    [42] GUMNet_RL              ~2000 MB VRAM
    [43] GUMNet_MoE_Sparse      ~ 800 MB VRAM
    [44] GUMNet_Fusion          ~3000 MB VRAM
    [45] GUMNet_Decomp          ~ 800 MB VRAM
    [46] GUMNet_Adaptive        ~ 900 MB VRAM
    [47] GUMNetHet              ~ 800 MB VRAM
══════════════════════════════════════════════════════════════════════

[GPU0] Starting 658 jobs with 7 concurrent workers...
[GPU0] Log: /data/quyhv/oil_forecast_tail_risk/logs_v4/concurrent_gpu0_20260817_015425.log

[   1/658]   0.2% | OK:1    FAIL:0    SKIP:0   | OK           | 12629s | ETA:138291m | NBEATS|XANG|H1|s123
[   2/658]   0.3% | OK:2    FAIL:0    SKIP:0   | OK           | 13087s | ETA:71540m | NHits|XANG|H1|s123
[   3/658]   0.5% | OK:3    FAIL:0    SKIP:0   | OK           | 15233s | ETA:55430m | TFT|XANG|H1|s123
[   4/658]   0.6% | OK:4    FAIL:0    SKIP:0   | OK           | 25085s | ETA:68358m | PatchTST|XANG|H1|s123
[   5/658]   0.8% | OK:5    FAIL:0    SKIP:0   | OK           | 30101s | ETA:65519m | RLinear|XANG|H1|s123
[   6/658]   0.9% | OK:6    FAIL:0    SKIP:0   | OK           | 18268s | ETA:60674m | Informer|XANG|H1|s123
[   7/658]   1.1% | OK:7    FAIL:0    SKIP:0   | OK           | 24638s | ETA:58474m | FedFormer|XANG|H1|s123
[   8/658]   1.2% | OK:8    FAIL:0    SKIP:0   | OK           | 26375s | ETA:52818m | Autoformer|XANG|H1|s123
[   9/658]   1.4% | OK:9    FAIL:0    SKIP:0   | OK           | 39147s | ETA:47049m | DLinear|XANG|H1|s123
[  10/658]   1.5% | OK:10   FAIL:0    SKIP:0   | OK           | 43792s | ETA:47295m | LTSF_Linear|XANG|H1|s123
[  11/658]   1.7% | OK:11   FAIL:0    SKIP:0   | OK           | 18818s | ETA:43039m | Reformer|XANG|H1|s123
[  12/658]   1.8% | OK:12   FAIL:0    SKIP:0   | OK           | 11147s | ETA:40059m | UniTS|XANG|H1|s123
[  13/658]   2.0% | OK:13   FAIL:0    SKIP:0   | OK           | 16151s | ETA:38247m | iTransformer|XANG|H1|s123
[  14/658]   2.1% | OK:14   FAIL:0    SKIP:0   | OK           | 11376s | ETA:38734m | CARD|XANG|H1|s123
[  15/658]   2.3% | OK:15   FAIL:0    SKIP:0   | OK           | 16819s | ETA:38969m | TimeXer|XANG|H1|s123
[  16/658]   2.4% | OK:16   FAIL:0    SKIP:0   | OK           | 12031s | ETA:38977m | FITS|XANG|H1|s123
[  17/658]   2.6% | OK:17   FAIL:0    SKIP:0   | OK           | 17246s | ETA:38358m | TimesNet|XANG|H1|s123
[  18/658]   2.7% | OK:18   FAIL:0    SKIP:0   | OK           | 10801s | ETA:36340m | CoST|XANG|H1|s123
[  19/658]   2.9% | OK:19   FAIL:0    SKIP:0   | OK           | 17250s | ETA:34696m | TTM|XANG|H1|s123
[  20/658]   3.0% | OK:20   FAIL:0    SKIP:0   | OK           | 23419s | ETA:33188m | Crossformer|XANG|H1|s123
[  21/658]   3.2% | OK:21   FAIL:0    SKIP:0   | OK           | 23196s | ETA:33922m | TimeMixer|XANG|H1|s123
[  22/658]   3.3% | OK:22   FAIL:0    SKIP:0   | OK           | 18017s | ETA:38758m | TimesFM|XANG|H1|s123
[  23/658]   3.5% | OK:23   FAIL:0    SKIP:0   | OK           | 21629s | ETA:38039m | MambaFormer|XANG|H1|s123
[  24/658]   3.6% | OK:24   FAIL:0    SKIP:0   | OK           | 26881s | ETA:39088m | Chronos|XANG|H1|s123
[  25/658]   3.8% | OK:25   FAIL:0    SKIP:0   | OK           | 15901s | ETA:40656m | Lag_Llama|XANG|H1|s123
